date,delay,distance,origin,destination,carrier
1010625,-3,1172,IAD,DFW,AA
1012020,92,1172,DFW,IAD,AA
1011745,-12,1192,DCA,DFW,AA
1010730,-2,1192,DCA,DFW,AA
1011655,17,1192,DFW,DCA,AA
1010955,0,612,DCA,ORD,AA
1011225,-3,2311,LAX,DCA,AA
1010840,-2,2311,DCA,LAX,AA
1011830,-8,2288,IAD,LAX,AA
1191115,251,2288,LAX,IAD,UA
1010845,-3,1192,DCA,DFW,AA
1091400,234,2288,LAX,IAD,AA
1011510,26,612,DCA,ORD,AA
1011140,-2,612,ORD,DCA,AA
1010600,-360,1192,DCA,DFW,AA
1011020,2,1192,DFW,DCA,AA
1011600,46,1192,DCA,DFW,AA
1011130,71,1192,DFW,DCA,AA
1011240,15,1212,DFW,ORF,AA
1011710,-5,1212,ORF,DFW,AA
1011005,24,1192,DCA,DFW,AA
1011555,7,1192,DFW,DCA,AA
1011800,-6,213,DCA,JFK,AA
1011545,3,213,JFK,DCA,AA
1011145,-3,612,DCA,ORD,AA
1011805,-2,919,DCA,MIA,AA
1011425,0,919,MIA,DCA,AA
1010815,-1,2311,LAX,DCA,AA
1011705,-9,2311,DCA,LAX,AA
1011335,5,1192,DFW,DCA,AA
1010705,-4,1212,ORF,DFW,AA
1011721,-2,921,IAD,MIA,AA
1011405,6,921,MIA,IAD,AA
1011805,15,1192,DFW,DCA,AA
1011840,92,1158,DFW,RIC,AA
1012100,93,919,DCA,MIA,AA
1011250,-2,919,DCA,MIA,AA
1010930,-2,919,MIA,DCA,AA
1010840,-3,1172,DFW,IAD,AA
1011300,-1,1172,IAD,DFW,AA
1011500,-3,1192,DCA,DFW,AA
1011155,-715,1172,DFW,IAD,AA
1011615,-1,1172,IAD,DFW,AA
1011510,29,1172,DFW,IAD,AA
1011930,15,1172,IAD,DFW,AA
1011835,46,919,MIA,DCA,AA
1010640,-4,1158,RIC,DFW,AA
1010800,-1,2288,IAD,LAX,AA
1010840,-1,919,DCA,MIA,AA
1010720,-6,921,IAD,MIA,AA
1010659,-6,919,DCA,MIA,AA
1011100,-5,1192,DCA,DFW,AA
1010615,-375,1192,DFW,DCA,AA
1011440,-5,919,DCA,MIA,AA
1011115,-5,919,MIA,DCA,AA
1011230,-2,1192,DCA,DFW,AA
1010750,7,1192,DFW,DCA,AA
1011959,-4,919,DCA,MIA,AA
1011635,-2,919,MIA,DCA,AA
1010800,-3,1158,DFW,RIC,AA
1011220,-3,1158,RIC,DFW,AA
1011950,-1,919,MIA,DCA,AA
1011859,-5,1192,DCA,DFW,AA
1011430,-5,1192,DFW,DCA,AA
1012050,-9,612,DCA,ORD,AA
1011715,2,612,ORD,DCA,AA
1012010,-4,612,ORD,DCA,AA
1011900,8,1212,DFW,ORF,AA
1011850,-12,612,DCA,ORD,AA
1011515,-4,612,ORD,DCA,AA
1012205,0,612,ORD,DCA,AA
1011615,-7,612,DCA,ORD,AA
1011245,-6,612,ORD,DCA,AA
1012010,19,1192,DFW,DCA,AA
1010645,33,919,MIA,DCA,AA
1012125,82,921,MIA,IAD,AA
1011340,24,1158,DFW,RIC,AA
1011755,21,1158,RIC,DFW,AA
1010800,-4,2329,DCA,SEA,AS
1011410,-3,2329,SEA,DCA,AS
1011840,-12,2329,DCA,SEA,AS
1010815,-3,2329,SEA,DCA,AS
1010915,-1,2311,DCA,LAX,AS
1011305,-10,2311,LAX,DCA,AS
1010950,0,2350,PDX,DCA,AS
1011710,-7,2350,DCA,PDX,AS
1011350,-8,814,DCA,TPA,B6
1011755,-5,814,TPA,DCA,B6
1010735,-16,814,TPA,DCA,B6
1010938,167,413,IAD,BOS,B6
1010610,-7,413,BOS,IAD,B6
1012140,-13,899,DCA,FLL,B6
1012059,0,899,FLL,DCA,B6
1010615,-8,313,BDL,DCA,B6
1010700,-10,399,BOS,DCA,B6
1010831,-2,399,DCA,BOS,B6
1011115,-12,814,DCA,TPA,B6
1011420,-15,814,TPA,DCA,B6
1010757,-15,857,DCA,PBI,B6
1010845,-3,399,BOS,DCA,B6
1011105,-2,399,DCA,BOS,B6
1011115,-5,399,BOS,DCA,B6
1011357,-4,399,DCA,BOS,B6
1011805,-9,313,BDL,DCA,B6
1010845,-15,313,DCA,BDL,B6
1011455,-4,413,IAD,BOS,B6
1011235,-1,413,BOS,IAD,B6
1011440,-8,892,DCA,RSW,B6
1011802,-15,892,RSW,DCA,B6
1012015,-5,892,DCA,RSW,B6
1011000,-3,892,RSW,DCA,B6
1011218,-2,399,BOS,DCA,B6
1011536,-13,399,DCA,BOS,B6
1011609,-5,634,DCA,JAX,B6
1011315,-5,634,JAX,DCA,B6
1011105,-12,857,PBI,DCA,B6
1010700,-8,759,DCA,MCO,B6
1011150,-6,759,MCO,DCA,B6
1011920,-11,814,DCA,TPA,B6
1011655,-1,399,DCA,BOS,B6
1011715,-4,399,BOS,DCA,B6
1011459,-5,759,DCA,MCO,B6
1012058,-8,759,MCO,DCA,B6
1011205,-14,444,DCA,CHS,B6
1011425,-13,444,CHS,DCA,B6
1011013,-10,474,BOS,RIC,B6
1011916,-2,399,BOS,DCA,B6
1012000,-12,313,DCA,BDL,B6
1011530,16,805,RIC,FLL,B6
1012045,3,805,FLL,RIC,B6
1011750,-8,399,DCA,BOS,B6
1011222,-1,857,DCA,PBI,B6
1011529,-4,857,PBI,DCA,B6
1011242,-7,474,RIC,BOS,B6
1010647,-6,228,IAD,JFK,B6
1010950,14,759,DCA,MCO,B6
1011822,-2,759,DCA,MCO,B6
1010855,-5,759,MCO,DCA,B6
1010610,-7,899,DCA,FLL,B6
1010740,-5,228,JFK,IAD,B6
1010838,-8,228,IAD,JFK,B6
1010800,-6,1554,DCA,SJU,B6
1011904,24,1554,SJU,DCA,B6
1010755,-13,667,RIC,MCO,B6
