origin,desitination,count
JFK,DCA,185
JFK,IAD,88
JFK,ORF,31
GSP,IAD,6
MKE,DCA,90
MSY,DCA,66
CMH,IAD,25
MIA,DCA,284
MIA,IAD,72
MIA,ORF,61
MIA,RIC,5
ALB,IAD,3
ATL,CHO,86
ATL,DCA,561
ATL,IAD,300
ATL,ORF,190
ATL,PHF,137
ATL,RIC,310
ATL,ROA,116
BOS,DCA,671
BOS,IAD,126
BOS,RIC,193
HNL,IAD,9
MSP,DCA,143
MSP,IAD,36
MSP,RIC,27
CAK,DCA,31
UST,IAD,3
FLL,DCA,214
FLL,IAD,23
FLL,RIC,31
DEN,DCA,122
DEN,IAD,305
DEN,PHF,3
HDN,IAD,2
SMF,IAD,5
DTW,DCA,165
DTW,IAD,38
DTW,ORF,18
DTW,RIC,54
GSO,IAD,44
GSO,ROA,1
CVG,IAD,4
TUL,IAD,5
SAN,IAD,89
SYR,IAD,17
DAL,DCA,262
ROA,ATL,115
ROA,IAD,4
ROA,ORD,21
SAV,IAD,61
ROC,IAD,49
SDF,IAD,12
DCA,ATL,561
DCA,AUS,31
DCA,BDL,62
DCA,BNA,89
DCA,BOS,676
DCA,BTR,1
DCA,CAK,31
DCA,CHS,58
DCA,CLE,120
DCA,CLT,234
DCA,DAL,262
DCA,DEN,122
DCA,DFW,291
DCA,DTW,165
DCA,EWR,137
DCA,FLL,214
DCA,HOU,114
DCA,IAH,149
DCA,IND,62
DCA,JAX,62
DCA,JFK,185
DCA,LAS,31
DCA,LAX,93
DCA,LGA,373
DCA,MCI,31
DCA,MCO,303
DCA,MDW,267
DCA,MIA,284
DCA,MKE,90
DCA,MSP,144
DCA,MSY,62
DCA,ORD,466
DCA,PBI,100
DCA,PDX,31
DCA,PHL,32
DCA,PHX,89
DCA,PIT,1
DCA,RSW,122
DCA,SEA,58
DCA,SFO,62
DCA,SJU,31
DCA,SLC,56
DCA,STL,88
DCA,TPA,243
HSV,IAD,2
CAE,IAD,86
SEA,DCA,58
SEA,IAD,40
BDL,DCA,62
BDL,IAD,76
BWI,ORF,89
TYS,IAD,17
PIT,DCA,1
PIT,IAD,112
RIC,ATL,310
RIC,BOS,192
RIC,CAE,1
RIC,CLT,110
RIC,DFW,63
RIC,DTW,53
RIC,EWR,85
RIC,FLL,31
RIC,IAD,26
RIC,IAH,57
RIC,LGA,76
RIC,MCO,67
RIC,MIA,5
RIC,MSP,27
RIC,ORD,171
DAY,IAD,2
PVD,IAD,62
RDU,IAD,6
RDU,PHF,1
BTR,DCA,1
IAH,DCA,149
IAH,IAD,128
IAH,ORF,27
IAH,RIC,57
TPA,DCA,244
TPA,IAD,105
PDX,DCA,31
PDX,IAD,5
STL,DCA,87
STL,IAD,9
IAD,ATL,299
IAD,BDL,80
IAD,BNA,21
IAD,BOS,125
IAD,BTV,6
IAD,BUF,27
IAD,CAE,85
IAD,CHS,4
IAD,CLE,72
IAD,CLT,4
IAD,CMH,27
IAD,CVG,6
IAD,DAY,1
IAD,DEN,286
IAD,DFW,91
IAD,DTW,37
IAD,EWR,115
IAD,FLL,23
IAD,GRR,4
IAD,GSO,46
IAD,GSP,6
IAD,HDN,2
IAD,HNL,8
IAD,HSV,2
IAD,IAH,143
IAD,IND,20
IAD,JAC,1
IAD,JAX,12
IAD,JFK,88
IAD,LAS,118
IAD,LAX,301
IAD,LGA,104
IAD,MCI,4
IAD,MCO,164
IAD,MDW,62
IAD,MEM,3
IAD,MIA,72
IAD,MSP,35
IAD,OKC,5
IAD,ORD,144
IAD,ORF,47
IAD,PBI,17
IAD,PDX,5
IAD,PHX,31
IAD,PIT,114
IAD,PVD,61
IAD,RDU,6
IAD,RIC,25
IAD,ROA,4
IAD,ROC,50
IAD,RSW,26
IAD,SAN,85
IAD,SAV,62
IAD,SDF,5
IAD,SEA,40
IAD,SFO,276
IAD,SJU,18
IAD,SMF,5
IAD,STL,9
IAD,STT,21
IAD,SYR,15
IAD,TPA,101
IAD,TUL,5
IAD,TYS,17
IAD,UST,3
DFW,DCA,291
DFW,IAD,91
DFW,ORF,57
DFW,RIC,63
JAX,DCA,62
JAX,IAD,11
CHO,ATL,85
CHO,LGA,54
CHO,ORD,62
STT,IAD,21
IND,DCA,62
IND,IAD,14
CHS,DCA,57
CHS,IAD,4
HOU,DCA,115
CLT,DCA,229
CLT,IAD,9
CLT,ORF,79
CLT,RIC,110
EWR,DCA,136
EWR,IAD,109
EWR,ORF,51
EWR,RIC,87
BNA,DCA,88
BNA,IAD,22
SJU,DCA,31
SJU,IAD,18
PBI,DCA,100
PBI,IAD,17
JAC,IAD,1
SLC,DCA,57
MCO,DCA,304
MCO,IAD,163
MCO,ORF,31
MCO,RIC,67
BTV,IAD,7
MCI,DCA,31
MCI,IAD,5
PHL,DCA,33
MEM,IAD,3
BUF,IAD,25
LGA,CHO,54
LGA,DCA,373
LGA,IAD,103
LGA,ORF,70
LGA,RIC,75
AUS,DCA,31
PHF,ATL,137
PHF,DEN,3
CLE,DCA,120
CLE,IAD,86
MDW,DCA,267
MDW,IAD,62
MDW,ORF,31
SFO,DCA,62
SFO,IAD,254
OKC,IAD,5
PHX,DCA,89
PHX,IAD,31
LAX,DCA,93
LAX,IAD,295
ORF,ATL,191
ORF,BWI,89
ORF,CLT,80
ORF,DFW,57
ORF,DTW,37
ORF,EWR,51
ORF,IAD,41
ORF,IAH,27
ORF,JFK,31
ORF,LGA,50
ORF,MCO,31
ORF,MDW,32
ORF,MIA,61
ORF,ORD,77
ORD,CHO,62
ORD,DCA,467
ORD,IAD,158
ORD,ORF,72
ORD,RIC,168
ORD,ROA,20
RSW,DCA,124
RSW,IAD,26
LAS,DCA,31
LAS,IAD,117
