origin,destination,count,experience,travel_time,experience_score
JFK,DCA,185,-5218,13035,-0.400306866
JFK,IAD,88,-1398,6285,-0.222434368
JFK,ORF,31,-754,2649,-0.284635712
GSP,IAD,6,-8,490,-0.016326531
MKE,DCA,90,-214,8843,-0.024199932
MSY,DCA,66,-572,8060,-0.070967742
CMH,IAD,25,-152,1826,-0.083242059
MIA,DCA,284,-2129,41248,-0.051614624
MIA,IAD,72,-1863,10720,-0.173787313
MIA,ORF,61,-178,8756,-0.020328917
MIA,RIC,5,-80,709,-0.112834979
ALB,IAD,3,-57,292,-0.195205479
ATL,CHO,86,-719,7309,-0.09837187
ATL,DCA,561,-2630,54096,-0.048617273
ATL,IAD,300,-2681,30194,-0.088792475
ATL,ORF,190,409,16464,0.02484208
ATL,PHF,137,-733,12969,-0.056519392
ATL,RIC,310,-670,26750,-0.025046729
ATL,ROA,116,-1099,8836,-0.124377546
BOS,DCA,671,-10059,62991,-0.159689479
BOS,IAD,126,-1566,12497,-0.125310074
BOS,RIC,193,-3646,19749,-0.184616943
HNL,IAD,9,22,4865,0.004522097
MSP,DCA,143,685,19144,0.035781446
MSP,IAD,36,-543,4774,-0.113741098
MSP,RIC,27,-643,3789,-0.169701768
CAK,DCA,31,-96,1979,-0.048509348
MTH,IAD,3,-9,325,-0.027692308
FLL,DCA,214,-1900,29481,-0.064448289
FLL,IAD,23,-711,3325,-0.213834586
FLL,RIC,31,-528,3749,-0.140837557
DEN,DCA,122,-1425,23465,-0.060728745
DEN,IAD,305,-4601,56281,-0.081750502
DEN,PHF,3,16,538,0.029739777
HDN,IAD,2,-57,445,-0.128089888
SMF,IAD,5,37,1430,0.025874126
DTW,DCA,165,292,14398,0.020280595
DTW,IAD,38,-645,3519,-0.183290708
DTW,ORF,18,-237,1889,-0.125463208
DTW,RIC,54,-555,5126,-0.108271557
GSO,IAD,44,-118,2920,-0.040410959
GSO,ROA,1,-24,0,0
CVG,IAD,4,45,279,0.161290323
TUL,IAD,5,67,706,0.09490085
SAN,IAD,89,-1289,24571,-0.052460217
SYR,IAD,17,-119,1498,-0.079439252
DAL,DCA,262,-2067,38300,-0.053968668
ROA,ATL,115,-726,9551,-0.076012983
ROA,IAD,4,-53,261,-0.203065134
ROA,ORD,21,-247,2560,-0.096484375
SAV,IAD,61,-708,5972,-0.118553248
ROC,IAD,49,-992,4024,-0.246520875
SDF,IAD,12,68,1122,0.060606061
DCA,ATL,561,954,63303,0.015070376
DCA,AUS,31,346,6721,0.051480434
DCA,BDL,62,-201,4412,-0.04555757
DCA,BNA,89,304,9538,0.03187251
DCA,BOS,676,-8574,51677,-0.165915204
DCA,BTR,1,-58,164,-0.353658537
DCA,CAK,31,-30,2012,-0.014910537
DCA,CHS,58,-894,5488,-0.162900875
DCA,CLE,120,271,9730,0.027852004
DCA,CLT,234,-357,20358,-0.017536104
DCA,DAL,262,-2072,48927,-0.042348805
DCA,DEN,122,-1625,29532,-0.055025058
DCA,DFW,291,-2067,60112,-0.034385813
DCA,DTW,165,-166,15509,-0.010703463
DCA,EWR,137,-2717,9090,-0.29889989
DCA,FLL,214,-1487,33003,-0.04505651
DCA,HOU,114,-1188,21879,-0.054298643
DCA,IAH,149,-729,31027,-0.023495665
DCA,IND,62,-325,6494,-0.050046196
DCA,JAX,62,-376,7811,-0.048137242
DCA,JFK,185,-6563,12932,-0.507500773
DCA,LAS,31,126,9541,0.013206163
DCA,LAX,93,611,32446,0.018831289
DCA,LGA,373,-7117,25842,-0.27540438
DCA,MCI,31,158,5210,0.030326296
DCA,MCO,303,-2451,42816,-0.057244955
DCA,MDW,267,-3384,28726,-0.117802687
DCA,MIA,284,-2293,46154,-0.049681501
DCA,MKE,90,174,10799,0.016112603
DCA,MSP,144,-196,23226,-0.008438819
DCA,MSY,62,-492,10204,-0.048216386
DCA,ORD,466,-6891,58858,-0.117078392
DCA,PBI,100,-591,15450,-0.038252427
DCA,PDX,31,398,10972,0.036274152
DCA,PHL,32,-267,1939,-0.137699845
DCA,PHX,89,135,27409,0.004925389
