origin,destination,count,travel_time,experience_score
JFK,DCA,185,-5218,-0.400306866
JFK,IAD,88,-1398,-0.222434368
JFK,ORF,31,-754,-0.284635712
GSP,IAD,6,490,-0.016326531
MKE,DCA,90,8843,-0.024199932
MSY,DCA,66,8060,-0.070967742
CMH,IAD,25,1826,-0.083242059
MIA,DCA,284,41248,-0.051614624
MIA,IAD,72,10720,-0.173787313
MIA,ORF,61,8756,-0.020328917
MIA,RIC,5,709,-0.112834979
ALB,IAD,3,292,-0.195205479
ATL,CHO,86,7309,-0.09837187
ATL,DCA,561,54096,-0.048617273
ATL,IAD,300,30194,-0.088792475
ATL,ORF,190,16464,0.02484208
ATL,PHF,137,12969,-0.056519392
ATL,RIC,310,26750,-0.025046729
ATL,ROA,116,8836,-0.124377546
BOS,DCA,671,62991,-0.159689479
BOS,IAD,126,12497,-0.125310074
BOS,RIC,193,19749,-0.184616943
HNL,IAD,9,4865,0.004522097
MSP,DCA,143,19144,0.035781446
MSP,IAD,36,4774,-0.113741098
MSP,RIC,27,3789,-0.169701768
CAK,DCA,31,1979,-0.048509348
MTH,IAD,3,325,-0.027692308
FLL,DCA,214,29481,-0.064448289
FLL,IAD,23,3325,-0.213834586
FLL,RIC,31,3749,-0.140837557
DEN,DCA,122,23465,-0.060728745
DEN,IAD,305,56281,-0.081750502
DEN,PHF,3,538,0.029739777
HDN,IAD,2,445,-0.128089888
SMF,IAD,5,1430,0.025874126
DTW,DCA,165,14398,0.020280595
DTW,IAD,38,3519,-0.183290708
DTW,ORF,18,1889,-0.125463208
DTW,RIC,54,5126,-0.108271557
GSO,IAD,44,2920,-0.040410959
GSO,ROA,1,0,0
CVG,IAD,4,279,0.161290323
TUL,IAD,5,706,0.09490085
SAN,IAD,89,24571,-0.052460217
SYR,IAD,17,1498,-0.079439252
DAL,DCA,262,38300,-0.053968668
ROA,ATL,115,9551,-0.076012983
ROA,IAD,4,261,-0.203065134
ROA,ORD,21,2560,-0.096484375
SAV,IAD,61,5972,-0.118553248
ROC,IAD,49,4024,-0.246520875
SDF,IAD,12,1122,0.060606061
DCA,ATL,561,63303,0.015070376
DCA,AUS,31,6721,0.051480434
DCA,BDL,62,4412,-0.04555757
DCA,BNA,89,9538,0.03187251
DCA,BOS,676,51677,-0.165915204
DCA,BTR,1,164,-0.353658537
DCA,CAK,31,2012,-0.014910537
DCA,CHS,58,5488,-0.162900875
DCA,CLE,120,9730,0.027852004
DCA,CLT,234,20358,-0.017536104
DCA,DAL,262,48927,-0.042348805
DCA,DEN,122,29532,-0.055025058
DCA,DFW,291,60112,-0.034385813
DCA,DTW,165,15509,-0.010703463
DCA,EWR,137,9090,-0.29889989
DCA,FLL,214,33003,-0.04505651
DCA,HOU,114,21879,-0.054298643
DCA,IAH,149,31027,-0.023495665
DCA,IND,62,6494,-0.050046196
DCA,JAX,62,7811,-0.048137242
DCA,JFK,185,12932,-0.507500773
DCA,LAS,31,9541,0.013206163
DCA,LAX,93,32446,0.018831289
DCA,LGA,373,25842,-0.27540438
DCA,MCI,31,5210,0.030326296
DCA,MCO,303,42816,-0.057244955
DCA,MDW,267,28726,-0.117802687
DCA,MIA,284,46154,-0.049681501
DCA,MKE,90,10799,0.016112603
DCA,MSP,144,23226,-0.008438819
DCA,MSY,62,10204,-0.048216386
DCA,ORD,466,58858,-0.117078392
DCA,PBI,100,15450,-0.038252427
DCA,PDX,31,10972,0.036274152
DCA,PHL,32,1939,-0.137699845
DCA,PHX,89,27409,0.004925389
DCA,PIT,1,66,-1.318181818
DCA,RSW,122,18770,-0.066808737
DCA,SEA,58,20785,0.029396199
DCA,SFO,62,22192,0.02424297
DCA,SJU,31,6645,-0.05778781
DCA,SLC,56,15918,0.011182309
DCA,STL,88,11317,0.011663869
DCA,TPA,243,34088,-0.007597982
HSV,IAD,2,206,-0.077669903
CAE,IAD,86,6844,-0.223699591
SEA,DCA,58,16501,0.006242046
SEA,IAD,40,11219,-0.034405919
BDL,DCA,62,5335,-0.102343018
BDL,IAD,76,6252,-0.302783109
BWI,ORF,89,4534,-0.248345831
TYS,IAD,17,1333,-0.447111778
PIT,DCA,1,85,-0.176470588
PIT,IAD,112,6500,-0.285384615
RIC,ATL,310,32770,-0.02258163
RIC,BOS,192,15311,-0.122787538
RIC,CAE,1,88,-2.590909091
RIC,CLT,110,8559,-0.107372357
RIC,DFW,63,12771,-0.009474591
RIC,DTW,53,5506,0.014529604
RIC,EWR,85,6209,-0.366564664
RIC,FLL,31,4281,0.012847466
RIC,IAD,26,1221,0.073710074
RIC,IAH,57,11513,-0.160253626
RIC,LGA,76,5353,-0.471884924
RIC,MCO,67,8502,-0.106680781
RIC,MIA,5,759,0.034255599
RIC,MSP,27,4462,-0.276557597
RIC,ORD,171,22260,-0.278571429
DAY,IAD,2,156,-0.269230769
PVD,IAD,62,5704,-0.149894811
RDU,IAD,6,396,0.012626263
RDU,PHF,1,50,-0.6
BTR,DCA,1,140,-0.085714286
IAH,DCA,149,24618,-0.006743034
IAH,IAD,128,20955,-0.033261751
IAH,ORF,27,4487,-0.047916202
IAH,RIC,57,8954,-0.092137592
TPA,DCA,244,29848,-0.036283838
TPA,IAD,105,12762,-0.047876508
PDX,DCA,31,8809,0.039618572
PDX,IAD,5,1361,0.064658339
STL,DCA,87,8836,-0.070054323
STL,IAD,9,995,0.008040201
IAD,ATL,299,33423,-0.079316638
IAD,BDL,80,5869,-0.339921622
IAD,BNA,21,2610,-0.237931034
IAD,BOS,125,9858,-0.161391763
IAD,BTV,6,563,-0.229129663
IAD,BUF,27,1953,-0.190988223
IAD,CAE,85,7595,-0.243581303
IAD,CHS,4,445,-0.294382022
IAD,CLE,72,5966,-0.163258465
IAD,CLT,4,327,-0.119266055
IAD,CMH,27,2243,-0.309407044
IAD,CVG,6,589,-0.122241087
IAD,DAY,1,88,-0.772727273
IAD,DEN,286,67459,-0.054195882
IAD,DFW,91,18784,0.012084753
IAD,DTW,37,3619,-0.118541033
IAD,EWR,115,8179,-0.317275951
IAD,FLL,23,3729,-0.123893805
IAD,GRR,4,468,-0.273504274
IAD,GSO,46,3068,-0.233050847
IAD,GSP,6,539,0.024118738
IAD,HDN,2,519,0.023121387
IAD,HNL,8,5034,-0.026618991
IAD,HSV,2,257,-0.171206226
IAD,IAH,143,28824,-0.066854011
IAD,IND,20,2177,-0.108406063
IAD,JAC,1,279,-0.028673835
IAD,JAX,12,1609,-0.262274705
IAD,JFK,88,6396,-0.229049406
IAD,LAS,118,36068,-0.020489076
IAD,LAX,301,100559,-0.010978629
IAD,LGA,104,7156,-0.424678591
IAD,MCI,4,720,-0.165277778
IAD,MCO,164,22338,-0.07126869
IAD,MDW,62,7096,-0.004086809
IAD,MEM,3,440,-0.040909091
IAD,MIA,72,12691,-0.122606572
IAD,MSP,35,5824,-0.089800824
IAD,OKC,5,896,-0.440848214
IAD,ORD,144,18032,-0.194043922
IAD,ORF,47,2754,-0.136528686
IAD,PBI,17,2668,-0.048725637
IAD,PDX,5,1798,-0.06618465
IAD,PHX,31,9195,0.005002719
IAD,PIT,114,6784,-0.331220519
IAD,PVD,61,4760,-0.317647059
IAD,RDU,6,408,-0.075980392
IAD,RIC,25,1195,-0.171548117
IAD,ROA,4,307,-0.583061889
IAD,ROC,50,4086,-0.268967205
IAD,RSW,26,4135,-0.117533253
IAD,SAN,85,28028,0.009312116
IAD,SAV,62,6598,-0.202637163
IAD,SDF,5,572,-0.13986014
IAD,SEA,40,14065,-0.039175258
IAD,SFO,276,94800,-0.019251055
IAD,SJU,18,3954,-0.189428427
IAD,SMF,5,1720,-0.011627907
IAD,STL,9,1301,-0.269023828
IAD,STT,21,4622,-0.108178278
IAD,SYR,15,1116,0.007168459
IAD,TPA,101,14106,-0.051113002
IAD,TUL,5,992,-0.098790323
IAD,TYS,17,1516,-0.278364116
IAD,FLL,3,370,0.008108108
DFW,DCA,291,45640,-0.066586328
DFW,IAD,91,14007,-0.054686942
DFW,ORF,57,9035,-0.065412286
DFW,RIC,63,9592,-0.067764804
JAX,DCA,62,6138,-0.052623004
JAX,IAD,11,1176,-0.019557823
CHO,ATL,85,8487,0.00860139
CHO,LGA,54,3680,-0.395108696
CHO,ORD,62,6767,-0.428254766
STT,IAD,21,5276,-0.08358605
IND,DCA,62,5399,0.044452676
IND,IAD,14,1274,0.091836735
CHS,DCA,57,4376,-0.278107861
CHS,IAD,4,367,-0.340599455
HOU,DCA,115,17881,-0.06107041
CLT,DCA,229,16943,-0.04639084
CLT,IAD,9,765,-0.390849673
CLT,ORF,79,4986,0.002406739
CLT,RIC,110,6664,-0.052821128
EWR,DCA,136,8945,-0.256008944
EWR,IAD,109,7866,-0.306509026
EWR,ORF,51,3449,-0.193389388
EWR,RIC,87,6189,-0.33834222
BNA,DCA,88,7226,-0.010655965
BNA,IAD,22,2167,0.058144901
SJU,DCA,31,6941,-0.067569514
SJU,IAD,18,4236,-0.119688385
PBI,DCA,100,13289,-0.06554293
PBI,IAD,17,2356,-0.156621392
JAC,IAD,1,248,-0.112903226
SLC,DCA,57,13237,0.004834932
MCO,DCA,304,36688,-0.071303969
MCO,IAD,163,20063,-0.122264866
MCO,ORF,31,3189,-0.154593917
MCO,RIC,67,7125,-0.089122807
BTV,IAD,7,782,-0.225063939
MCI,DCA,31,3807,-0.014184397
MCI,IAD,5,672,0.125
PHL,DCA,33,1820,-0.379120879
MEM,IAD,3,322,0.083850932
BUF,IAD,25,1824,0.002741228
LGA,CHO,54,3939,-0.43488195
LGA,DCA,373,25906,-0.255500656
LGA,IAD,103,7505,-0.389473684
LGA,ORF,70,5261,-0.360007603
LGA,RIC,75,5351,-0.528312465
AUS,DCA,31,5300,0.030754717
PHF,ATL,137,15929,-0.070563124
PHF,DEN,3,770,-0.381818182
CLE,DCA,120,8999,0.08000889
CLE,IAD,86,6510,-0.0453149
MDW,DCA,267,23581,-0.143335736
MDW,IAD,62,5629,-0.074435957
MDW,ORF,31,3546,-0.14213198
SFO,DCA,62,18554,-0.022205454
SFO,IAD,254,75011,-0.027449307
OKC,IAD,5,781,-0.067861716
PHX,DCA,89,22233,-0.039580803
PHX,IAD,31,7443,0.058712885
LAX,DCA,93,27280,-0.00436217
LAX,IAD,295,83248,-0.036565443
ORF,ATL,191,21249,0.066026637
ORF,BWI,89,5058,-0.108540925
ORF,CLT,80,6706,0.008947211
ORF,DFW,57,12390,0.005326877
ORF,DTW,37,4292,-0.035414725
ORF,EWR,51,3696,-0.245670996
ORF,IAD,41,2511,-0.016328156
ORF,IAH,27,5717,0.010844849
ORF,JFK,31,2109,-0.022285443
ORF,LGA,50,3777,-0.531374106
ORF,MCO,31,3679,-0.041315575
ORF,MDW,32,4259,-0.171871331
ORF,MIA,61,8776,-0.025068368
ORF,ORD,77,10574,-0.148099111
ORD,CHO,62,5883,-0.543600204
ORD,DCA,467,47485,-0.169758871
ORD,IAD,158,15902,-0.219406364
ORD,ORF,72,8579,-0.164937638
ORD,RIC,168,17452,-0.297616319
ORD,ROA,20,1922,-0.241935484
RSW,DCA,124,16421,-0.065769442
RSW,IAD,26,3550,-0.141971831
LAS,DCA,31,8079,0.013863102
LAS,IAD,117,29973,-0.034831348
